date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:32	347920/347920	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-54f10%22	https://varadbhogayata.github.io/assets/img/passport-new.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/passport-new.jpg	(from https://varadbhogayata.github.io/)
20:29:32	106485/106485	---M--	200	added ('OK')	application/pdf	etag:%22613d4bdb-19ff5%22	https://varadbhogayata.github.io/assets/resume/Varad_Bhogayata_Resume.pdf	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/resume/Varad_Bhogayata_Resume.pdf	(from https://varadbhogayata.github.io/)
20:29:32	6040/6040	---M--	200	added ('OK')	image/webp	etag:%22613d4bdb-1798%22	https://varadbhogayata.github.io/assets/img/exp-zhiffy-logo-1.webp	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/exp-zhiffy-logo-1.webp	(from https://varadbhogayata.github.io/)
20:29:33	15134/15134	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-3b1e%22	https://varadbhogayata.github.io/assets/img/exp-meditab-logo-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/exp-meditab-logo-500x500.jpg	(from https://varadbhogayata.github.io/)
20:29:33	3902/3902	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-f3e%22	https://varadbhogayata.github.io/assets/img/exp-mtag-logo-250x250.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/exp-mtag-logo-250x250.jpg	(from https://varadbhogayata.github.io/)
20:29:33	10597/10597	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-2965%22	https://varadbhogayata.github.io/assets/img/exp-cignex-logo.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/exp-cignex-logo.png	(from https://varadbhogayata.github.io/)
20:29:34	22357/22357	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-5755%22	https://varadbhogayata.github.io/assets/img/project-quizup-logo-1.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/project-quizup-logo-1.png	(from https://varadbhogayata.github.io/)
20:29:34	1242719/1242719	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-12f65f%22	https://varadbhogayata.github.io/assets/img/project-music-player.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/project-music-player.png	(from https://varadbhogayata.github.io/)
20:29:34	193439/193439	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-2f39f%22	https://varadbhogayata.github.io/assets/img/project-blog-logo.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/project-blog-logo.jpg	(from https://varadbhogayata.github.io/)
20:29:34	78348/78348	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-1320c%22	https://varadbhogayata.github.io/assets/img/project-aim_bert-bias.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/project-aim_bert-bias.png	(from https://varadbhogayata.github.io/)
20:29:34	57643/57643	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-e12b%22	https://varadbhogayata.github.io/assets/img/computer-vision-v2-04.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/computer-vision-v2-04.png	(from https://varadbhogayata.github.io/)
20:29:35	86924/86924	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-1538c%22	https://varadbhogayata.github.io/assets/img/gan.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/gan.jpg	(from https://varadbhogayata.github.io/)
20:29:35	237056/237056	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-39e00%22	https://varadbhogayata.github.io/assets/img/Blog-Images-Forget-Machine-Learning-Humans-Still-Have-a-Lot-to-Learn-Part-II.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/Blog-Images-Forget-Machine-Learning-Humans-Still-Have-a-Lot-to-Learn-Part-II.jpg	(from https://varadbhogayata.github.io/)
20:29:35	5284/5284	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-14a4%22	https://varadbhogayata.github.io/assets/img/python-logo-1-300x300.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/python-logo-1-300x300.jpg	(from https://varadbhogayata.github.io/)
20:29:35	6935/6935	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-1b17%22	https://varadbhogayata.github.io/assets/img/html5-300x300.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/html5-300x300.jpg	(from https://varadbhogayata.github.io/)
20:29:36	6730/6730	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-1a4a%22	https://varadbhogayata.github.io/assets/img/css3-300x300.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/css3-300x300.jpg	(from https://varadbhogayata.github.io/)
20:29:36	7628/7628	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-1dcc%22	https://varadbhogayata.github.io/assets/img/mysql-logo-1-300x300.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/mysql-logo-1-300x300.jpg	(from https://varadbhogayata.github.io/)
20:29:36	22028/22028	---M--	200	added ('OK')	image/png	etag:%22613d4bdb-560c%22	https://varadbhogayata.github.io/assets/img/postgresql-logo.png	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/postgresql-logo.png	(from https://varadbhogayata.github.io/)
20:29:36	5601/5601	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-15e1%22	https://varadbhogayata.github.io/assets/img/shell-logo-1-300x300.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/shell-logo-1-300x300.jpg	(from https://varadbhogayata.github.io/)
20:29:37	22711/22711	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-58b7%22	https://varadbhogayata.github.io/assets/img/numpy-logo-1-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/numpy-logo-1-500x500.jpg	(from https://varadbhogayata.github.io/)
20:29:37	4717/4717	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-126d%22	https://varadbhogayata.github.io/assets/img/pandas-logo-2-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/pandas-logo-2-500x500.jpg	(from https://varadbhogayata.github.io/)
20:29:37	16731/16731	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-415b%22	https://varadbhogayata.github.io/assets/img/opencv-logo-1-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/opencv-logo-1-500x500.jpg	(from https://varadbhogayata.github.io/)
20:29:37	14550/14550	---M--	200	added ('OK')	image/jpeg	etag:%22613d4bdb-38d6%22	https://varadbhogayata.github.io/assets/img/sk-learn-logo-1-500x500.jpg	C:/Users/KARTIK/Downloads/suhana%20test%20project/varadbhogayata.github.io/assets/img/sk-learn-logo-1-500x500.jpg	(from https://varadbhogayata.github.io/)
